Attack,Skip,Favor,Shuffle,See-The-Future,Draw-From-Bottom,Defuse,Taco,Watermelon,Potato,Beard,Rainbow,Draw,Last Card Played Index,Cards in Deck,Attack Winrate,Skip Winrate,Favor Winrate,Shuffle Winrate,See-The-Future Winrate,Draw-From-Bottom Winrate,Defuse Winrate,Taco Winrate,Watermelon Winrate,Potato Winrate,Beard Winrate,Rainbow Winrate,Draw Winrate
0,1,0,0,0,0,0,2,1,1,0,2,1,-1,3,0.1791044776119403,0,0,0,0,0,0,0,0,0,0.6666666666666666,0,0.3333333333333333
0,1,0,0,0,0,0,2,1,1,0,2,1,-1,3,0,0,0,0,0,0,0.625,0,0,0,0,0,0
0,1,0,0,0,0,0,2,1,1,0,0,2,11,3,0.23076923076923078,0,0,0,0,0,0,0,0,0,0,0.0,0.625
0,0,1,1,1,0,0,2,1,0,1,0,1,1,3,0,0.2,0.23529411764705882,0.07692307692307693,0,0,0,0,0,0,0,0,0.125
0,0,1,1,1,0,0,2,1,0,1,0,1,7,3,0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0.0
0,1,0,0,0,0,0,2,1,1,0,0,2,11,3,0,0,0,0,0,0,0.42857142857142855,0,0,0,0,0,0
0,1,0,0,1,0,0,2,1,1,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0
0,0,1,1,1,0,0,2,1,0,1,0,0,1,3,0,0.25,0.0,0.0,0,0,0,0,0,0,0,0,0.25
0,0,1,1,1,0,0,2,1,0,1,0,1,1,3,0,0,0,0,0,0,0.13333333333333333,0,0,0,0,0,0
0,0,1,1,0,0,0,2,1,0,1,0,1,4,3,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.2
