Exploding Kitten,Attack,Skip,Favor,Shuffle,See-The-Future,Draw-From-Bottom,Defuse,Taco,Watermelon,Potato,Beard,Rainbow,Last Card Played Index,Cards in Deck,Attack Winrate,Skip Winrate,Favor Winrate,Shuffle Winrate,See-The-Future Winrate,Draw-From-Bottom Winrate,Defuse Winrate,Taco Winrate,Watermelon Winrate,Potato Winrate,Beard Winrate,Rainbow Winrate,Draw Winrate
0,1,1,0,1,0,0,1,0,1,1,1,1,-1,3,0.7894736842105263,0.9230769230769231,0,0.3333333333333333,0,0,0,0,0,0,0,0,0.09800764741396659
0,0,0,1,0,0,0,2,2,1,0,1,1,-1,2,0,0,0.1054458667823823,0,0,0,0,0.09471218206157965,0,0,0,0,0.0876068376068376
0,1,1,0,0,0,0,1,0,1,1,1,1,4,3,1.0,0.5714285714285714,0,0,0,0,0,0,0,0,0,0,0.36363636363636365
0,0,0,1,0,0,0,2,2,1,0,1,1,2,3,0,0,0.6666666666666666,0,0,0,0,1.0,0,0,0,0,0.0
0,0,0,1,0,0,0,2,2,1,0,1,1,1,3,0,0,0.8333333333333334,0,0,0,0,0.8333333333333334,0,0,0,0,0.6666666666666666
0,0,0,1,0,0,0,2,2,1,0,1,1,-1,2,0,0,0,0,0,0,0.9123557075673364,0,0,0,0,0,0
0,0,0,1,0,0,0,3,0,1,0,1,1,8,2,0,0,0.09554973821989529,0,0,0,0,0,0,0,0,0,0.09389993145990404
0,0,0,0,0,0,0,2,2,1,0,2,1,3,2,0,0,0,0,0,0,0,0.10381781647689216,0,0,0.09467455621301775,0,0.11283643892339544
0,1,1,0,0,0,0,1,0,1,1,1,1,4,3,0,0,0,0,0,0,0.7,0,0,0,0,0,0
0,0,0,1,0,0,0,2,2,1,0,1,1,2,3,0,0,0.75,0,0,0,0,0.3333333333333333,0,0,0,0,0.0
0,0,0,1,0,0,0,2,2,1,0,1,1,1,3,0,0,1.0,0,0,0,0,1.0,0,0,0,0,1.0
0,1,0,0,1,0,0,1,0,1,1,1,1,2,2,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0
0,0,0,1,0,0,0,3,0,1,0,1,1,8,3,0,0,1.0,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,2,2,2,0,1,1,3,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0
0,0,0,1,0,0,0,3,2,1,0,1,1,1,2,0,0,1.0,0,0,0,0,0.5,0,0,0,0,1.0
0,0,0,1,0,0,0,2,0,1,0,1,2,8,3,0,0,0.0,0,0,0,0,0,0,0,0,1.0,1.0
0,0,0,0,0,0,0,2,2,1,1,1,1,3,3,0,0,0,0,0,0,0,1.0,0,0,0,0,0.5
0,1,1,0,1,0,0,2,0,1,1,1,1,7,2,0.4857142857142857,0.23026315789473684,0,0.9350282485875706,0,0,0,0,0,0,0,0,0.4444444444444444
0,0,0,1,0,0,0,3,0,1,0,1,1,8,2,0,0,0,0,0,0,0.906721536351166,0,0,0,0,0,0
0,0,0,0,0,0,0,3,0,1,0,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0.09375,0,0.09734513274336283
0,0,0,0,0,0,0,2,2,1,0,2,1,3,2,0,0,0,0,0,0,0.8871051268772656,0,0,0,0,0,0
0,0,0,0,0,0,0,3,2,1,0,0,1,11,2,0,0,0,0,0,0,0,0.07125307125307126,0,0,0,0,0.10709677419354839
0,0,0,0,0,0,0,3,0,1,0,2,1,8,2,0,0,0,0,0,0,0,0,0,0,0.10840438489646773,0,0.09836065573770492
0,0,0,1,0,0,0,2,2,1,0,1,1,7,3,0,0,0.0,0,0,0,0,0.5,0,0,0,0,0.16666666666666666
0,0,0,1,0,0,0,2,2,1,0,1,1,2,3,0,0,0,0,0,0,1.0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,1,0,2,1,8,3,0,0,0,0,0,0,0,0,0,0,0.0,0,1.0
0,0,0,0,0,0,0,2,2,1,0,1,2,3,3,0,0,0,0,0,0,0,0.5,0,0,0,1.0,1.0
0,0,0,1,0,0,0,2,2,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,2,0,1,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,2,2,1,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,1,0,1,1,1,1,2,2,0,0,0,0,0,0,1.0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,1,1,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,3,2,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,1,1,1,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,3,0,1,0,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,1,0,0,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,2,2,0,0,1,1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,3,2,1,0,1,1,1,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0
0,0,1,1,0,0,0,3,0,1,0,1,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0
0,0,0,0,0,0,0,4,2,1,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,3,0,1,0,1,2,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1.0
0,0,0,1,0,0,0,2,0,1,1,1,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,1.0
0,0,0,0,0,0,0,2,0,2,0,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
