Exploding Kitten,Attack,Skip,Favor,Shuffle,See-The-Future,Draw-From-Bottom,Defuse,Taco,Watermelon,Potato,Beard,Rainbow,Last Card Played Index,Cards in Deck,Attack Winrate,Skip Winrate,Favor Winrate,Shuffle Winrate,See-The-Future Winrate,Draw-From-Bottom Winrate,Defuse Winrate,Taco Winrate,Watermelon Winrate,Potato Winrate,Beard Winrate,Rainbow Winrate,Draw Winrate
0,1,1,0,0,0,0,1,0,1,1,2,1,-1,25,0.5,0.22916666666666666,0,0,0,0,0,0,0,0,0.6190476190476191,0,0.47058823529411764
0,2,1,1,1,0,0,1,1,1,0,0,0,-1,24,0.2,1.0,0.0,0.6,0,0,0,0,0,0,0,0,1.0
0,1,1,0,0,0,0,2,0,1,1,0,1,11,25,0.2222222222222222,0.5,0,0,0,0,0,0,0,0,0,0,0.6
0,2,1,1,1,0,0,1,1,1,0,0,0,2,25,0.875,0.7272727272727273,0.2727272727272727,0.125,0,0,0,0,0,0,0,0,0.6666666666666666
0,2,1,1,1,0,0,1,1,1,0,0,0,1,25,1.0,0.3333333333333333,0.5,0.6666666666666666,0,0,0,0,0,0,0,0,0.75
0,2,1,1,0,0,0,1,1,1,0,0,0,4,24,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,1.0
0,2,1,1,1,0,0,0,1,1,0,0,0,2,25,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1.0
0,1,0,0,0,0,0,1,0,1,1,2,1,2,24,0.3333333333333333,0,0,0,0,0,0,0,0,0,0.5,0,0.3333333333333333
0,2,1,1,0,0,0,1,1,1,0,0,0,4,25,1.0,1.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,1.0
0,2,1,0,1,0,0,1,1,1,0,1,0,3,25,0.5,1.0,0,0.0,0,0,0,0,0,0,0,0,0.6666666666666666
0,1,0,0,0,0,0,1,0,1,1,2,1,1,25,1.0,0,0,0,0,0,0,0,0,0,1.0,0,1.0
0,2,2,1,1,0,0,1,1,1,0,0,0,1,24,0,0,1.0,1.0,0,0,0,0,0,0,0,0,1.0
