Exploding Kitten,Attack,Skip,Favor,Shuffle,See-The-Future,Draw-From-Bottom,Defuse,Taco,Watermelon,Potato,Beard,Rainbow,Last Card Played Index,Cards in Deck,Attack Winrate,Skip Winrate,Favor Winrate,Shuffle Winrate,See-The-Future Winrate,Draw-From-Bottom Winrate,Defuse Winrate,Taco Winrate,Watermelon Winrate,Potato Winrate,Beard Winrate,Rainbow Winrate,Draw Winrate
0,2,1,0,1,0,0,1,1,1,1,0,0,-1,25,0.7159090909090909,0.6798418972332015,0,0.3442622950819672,0,0,0,0,0,0,0,0,0.7024390243902439
0,1,1,1,0,0,0,2,1,1,0,1,0,-1,24,0.24285714285714285,0.34146341463414637,0.7241379310344828,0,0,0,0,0,0,0,0,0,0.37142857142857144
0,2,1,0,0,0,0,1,1,1,1,0,0,4,25,0.6408450704225352,0.68,0,0,0,0,0,0,0,0,0,0,0.6585365853658537
0,1,1,1,0,0,0,2,1,1,0,1,0,2,25,0.3116883116883117,0.2608695652173913,0.45454545454545453,0,0,0,0,0,0,0,0,0,0.3442622950819672
0,1,1,1,0,0,0,2,1,1,0,1,0,1,25,0.3157894736842105,0.6764705882352942,0.7692307692307693,0,0,0,0,0,0,0,0,0,0.6842105263157895
0,2,2,0,1,0,0,1,1,1,1,0,0,-1,23,1.0,0.6,0,0.2857142857142857,0,0,0,0,0,0,0,0,0.46153846153846156
0,1,1,0,0,0,0,3,1,1,0,1,0,3,24,0.4166666666666667,0.2222222222222222,0,0,0,0,0,0,0,0,0,0,0.2777777777777778
0,2,2,0,1,0,0,1,1,1,1,0,0,2,24,0.7142857142857143,0.75,0,0.42857142857142855,0,0,0,0,0,0,0,0,0.6363636363636364
0,2,2,0,1,0,0,1,1,1,1,0,0,1,24,0.8461538461538461,0.3181818181818182,0,0.2,0,0,0,0,0,0,0,0,0.2631578947368421
0,1,1,1,0,0,0,2,1,1,0,1,0,4,24,0.2972972972972973,0.3333333333333333,0.6451612903225806,0,0,0,0,0,0,0,0,0,0.5714285714285714
0,1,1,1,0,0,0,2,1,1,0,1,0,2,25,0.36,0.7142857142857143,0.6,0,0,0,0,0,0,0,0,0,0.2127659574468085
